SKU,DKS_Blr_BGRoad_001,DKS_Blr_btmlayout_001,DKS_Blr_HSRlayout_001,DKS_Blr_kaggdaspura_001,DKS_Blr_kalyannagar_001,DKS_Blr_Marathahalli_001,DKS_Blr_Sheshadripurm_001,DKS_Blr_varthur_001,DKS_Blr_whitefield_001
DPCDE0002SAVPH,2,0,0,2,0,0,0,0,0
DPCTF0003SAVPH,0,0,0,4,1,0,0,1,0
DHEHS0005BOL,0,2,0,0,2,0,1,2,0
DFOWF0013RC,2,0,0,0,0,0,0,0,0
DFODF0050RC,0,1,1,2,0,0,0,0,0
DFODF0012RC,0,0,1,0,2,0,0,1,0
CTOCA0002BS,1,0,0,1,0,0,0,0,0
CFOWF0005SMY,1,0,2,1,0,0,0,0,0
CFOTR0010SH,2,0,0,0,0,0,0,0,0
CFOWF0283MO,0,0,0,0,0,0,0,0,0
CFOWF0013SMY,1,1,1,2,0,0,0,0,0
CFOWF0009SMY,2,0,1,3,0,0,0,0,0
CFOWF0025SMY,1,0,2,3,0,0,0,1,0
CFOWF0011SUD,0,0,0,0,0,0,0,0,0
CFODF0019RC,0,0,0,2,2,0,0,0,0
CFODF0041WH,1,2,1,1,0,0,0,0,0
CFODF0008MO,1,0,2,4,2,0,0,0,0
CFODF0040RC,0,0,0,2,5,0,1,0,0
CFODF0006MA,2,2,2,3,0,0,0,0,0
DTRDT0001BOL,1,1,0,0,0,0,0,0,0
DTRDT0012DR,0,0,0,0,0,0,1,0,0
DTRJT0013CC,0,0,0,3,0,0,0,0,0
DTRBC0019PU,1,2,0,3,0,0,0,1,0
DSWEEM0001VIRPH,2,0,0,3,2,0,0,0,0
DSWSK0001VIRPH,2,0,0,5,0,0,0,0,0
DPCDE0002INTPH,2,0,0,3,1,0,0,1,0
DPCTF0002SAVPH,0,0,0,4,0,0,0,0,0
DHEHS0007HM,0,0,1,1,0,0,0,0,0
DHEHS0003HM,0,2,0,0,2,0,1,1,0
DFOWF0005DG,0,0,0,0,0,0,0,0,0
DFODF0054RC,2,0,0,0,0,0,0,0,0
DFODF0062RC,1,0,0,0,2,0,0,1,0
DFODF0008RC,0,0,0,2,0,0,0,0,0
DFODF0018PG,1,0,0,2,0,1,0,0,0
DFODF0004DR,1,1,1,2,0,0,0,0,0
DBONA0002SKT,0,0,0,0,0,0,0,0,0
CFOWF0008SUD,0,0,0,0,0,0,0,0,0
CFOWF0157WH,0,1,1,0,0,0,0,0,0
CLILI0008CB,0,0,0,2,1,0,0,0,0
CFOWF0029SMY,0,0,2,2,0,0,0,0,0
CFOWF0167WH,0,0,2,2,0,0,1,0,0
CFOWF0002AL,2,0,0,3,3,0,0,8,0
CLILI0037PC,0,1,1,4,1,0,0,0,0
CFOWF0151MO,0,0,0,0,0,0,0,0,0
CFODF0015WH,0,0,0,0,2,0,1,0,0
CFODF0004WH,2,0,0,1,0,0,0,2,0
CFODF0003ND,1,0,0,2,0,0,0,0,0
CFODF0001RC,1,0,0,2,0,0,0,2,0
DTRJT0001CC,0,0,1,0,0,1,0,0,0
DTRDT0003GN,0,1,0,0,4,0,0,0,0
DTRBC0022CC,1,1,0,2,0,1,0,0,0
DTRBO0009GD,0,0,0,0,3,0,0,1,0
DTRBO0021GD,1,2,1,1,4,1,2,3,0
DSWE0001VIVPH,1,0,0,3,2,0,0,0,0
DPCDE0001VETPH,0,0,0,0,0,0,0,0,0
DHEHS0004HM,1,1,0,0,2,0,0,0,0
DHEHS0002BOL,1,0,0,0,0,0,0,0,0
DFOFS0001CD,0,0,1,0,0,0,1,0,0
DFODF0113RC,0,0,0,0,0,0,0,2,0
DFOWF0008PG,2,0,0,0,0,1,0,0,0
DFOWF0005RC,1,0,0,0,0,0,0,0,0
DFOWF0017RC,0,0,0,0,0,0,0,0,0
DFODF0042PG,0,0,1,2,0,0,0,0,0
CPCTF0003VEKPH,0,0,0,0,0,0,0,0,0
CTOBC0013TR,1,0,0,1,1,1,0,1,0
CTOBC0003TR,0,0,1,0,1,0,0,0,0
CFOWF0017SMY,2,0,1,4,0,0,0,0,0
CFOWF0007AL,2,0,3,5,0,0,0,0,0
CFOWF0006RC,1,0,0,1,0,0,0,0,0
CFOWF0012RC,0,0,0,0,0,0,0,0,0
CLILI0001PPT,0,0,1,1,1,0,0,0,0
CFOTR0007PU,0,0,0,1,0,0,0,1,0
CFOWF0152WH,2,1,0,0,0,0,0,0,0
CFOWF0001SMY,1,0,4,1,0,0,0,0,0
CLILI0053PC,0,0,1,3,0,0,0,0,0
CFODF0002DR,1,0,1,0,2,0,1,0,0
CFODF0027RC,0,2,0,0,0,0,1,0,0
CFODF0012ND,4,0,1,0,0,0,0,0,0
CFODF0022WH,1,0,0,2,0,1,0,0,0
DTRJT0010JH,1,2,1,3,0,0,0,2,0
DTRJT0020FM,0,0,0,0,0,0,0,0,0
DTRJT0068JH,0,0,1,1,4,1,1,0,0
DTRDT0031GN,2,1,0,2,3,0,0,2,0
DTRJT0054JH,0,0,0,0,0,0,0,0,0
DTRJT0005JH,0,2,0,0,0,0,1,1,0
DTRBO0013GD,0,1,1,3,3,1,0,0,0
DTRBO0072DC,0,0,0,0,1,0,0,0,0
DTRBC0020PU,1,0,0,0,0,0,1,0,0
DSWCD0007SAVPH,0,0,0,5,6,0,0,0,0
DTOCT0007SKT,0,0,2,0,1,0,0,1,0
DSWSK0003INTPH,0,0,0,3,4,0,0,0,0
DPCTF0015ZOEPH,1,0,0,2,2,0,0,0,0
DPCDE0002BAYPH,1,0,0,3,2,0,0,0,0
DHEHS0002BI,0,0,0,2,2,0,0,0,0
DFOWF0002SM,0,0,4,0,0,1,0,0,0
DFODF0031HN,1,0,0,0,0,0,0,0,0
DFODF0005VO,0,0,1,0,0,0,0,1,0
DFODF0073RC,0,1,0,0,0,0,0,0,0
DAPCL0005SKT,1,2,2,2,3,1,1,2,0
CPCDE0001SKYPH,2,0,0,2,0,0,0,0,0
CPCDE0002AREPH,2,0,0,3,2,0,0,0,0
CFOWF0021SMY,2,0,3,2,0,0,0,0,0
CFOWF0127MO,0,0,0,0,0,0,0,0,0
CFOWF0033SMY,0,0,0,0,0,0,0,0,0
CFOWF0006AL,3,0,0,0,0,0,0,0,0
CFOTR0007TR,0,0,0,0,0,0,0,0,0
CFODF0020MO,0,2,1,1,4,2,1,0,0
CFODF0032RC,1,0,0,0,0,0,0,2,0
CFODF0005WH,1,0,0,1,0,0,0,0,0
CFODF0058RC,0,0,1,2,0,0,0,0,0
CFODF0003VO,2,0,0,0,0,0,0,0,0
DTRDT0110GN,0,0,0,0,0,0,0,0,0
DTRDT0002BOL,3,0,0,0,0,0,0,0,0
DPCDE0001VIRPH,1,0,0,0,2,0,0,0,0
DSW0020VIVPH,3,0,0,1,2,0,0,0,0
DHEHS0038BOL,1,1,1,0,2,0,0,0,0
DFODF0106RC,0,1,0,0,0,1,0,0,0
DFOWF0031DR,0,1,0,0,2,0,0,0,0
DFOWF0018RC,0,0,0,0,0,0,0,0,0
DFOWF0002VVD,0,0,0,0,0,1,0,0,0
DFODF0010RC,0,0,0,0,0,0,0,0,0
DFODF0012PG,2,1,0,0,0,0,0,0,0
DFODF0090DR,0,0,0,1,1,0,0,0,0
DFODF0020ND,1,0,1,0,0,0,0,0,0
DFODF0001DR,1,1,0,1,0,0,1,0,0
DCOHA0035SKT,1,0,0,0,1,0,0,0,0
DAPCL0004SKT,1,2,1,1,3,1,1,2,0
CTOBC0028TR,0,0,0,2,0,0,0,0,0
CFOWF0051SH,1,0,1,0,0,0,0,0,0
CFOWF0112MO,0,0,0,0,0,0,0,0,0
CFOWF0115BT,0,0,0,4,0,0,0,0,0
CFOWF0015AL,1,0,3,2,0,0,0,0,0
CLILB0005SKT,0,0,0,2,0,0,0,0,0
CFOTR0023DR,1,0,0,1,0,0,0,0,0
CFOTR0002KK,1,1,0,1,0,0,0,0,0
CFODF0029DR,2,0,1,1,4,0,0,0,0
CFODF0029RC,1,2,0,0,0,1,0,0,0
CFODF0002MA,1,0,2,2,0,0,0,0,0
CFODF0006RC,0,0,0,0,2,0,0,0,0
CFODF0009ND,1,0,1,1,0,0,0,0,0
CFODF0007SG,0,0,0,2,2,0,0,0,0
CFODF0005PFT,1,0,0,0,0,0,0,0,0
CFODF0007WH,1,0,0,0,0,0,0,0,0
CFODF0019FR,0,0,0,0,0,0,0,0,0
DTRDT0081GN,0,1,0,0,0,0,0,4,0
DTRDT0003PG,0,0,1,0,2,0,0,0,0
DTRDT0192GN,0,0,0,0,2,0,1,0,0
DTRJT0051DR,0,0,0,0,0,0,1,0,0
DTRBO0002DC,0,0,0,0,0,0,0,0,0
DTOCT0030SKT,1,0,0,0,1,0,0,0,0
DTRBC00015DC,0,0,0,0,0,0,0,0,0
DTRBC0001HM,1,0,0,0,0,0,1,0,0
DTRBC0021PU,0,0,0,1,1,0,1,0,0
DSWDG0001VIVPH,0,0,0,0,0,0,0,0,0
DSWEEM0003VIRPH,2,0,0,3,3,0,0,0,0
DTOCT0012SKT,0,1,0,0,1,0,0,0,0
DSWSK0005VIVPH,0,0,0,2,0,0,0,0,0
DSWK0003VIVPH,0,0,0,0,0,0,0,0,0
DHEHS0002HM,0,1,0,1,2,1,0,0,0
DFOWF0007JH,0,1,1,1,0,0,0,0,0
DFOWF0003SM,0,0,3,1,0,0,0,0,0
DFODF0014SG,1,0,0,2,2,0,0,0,0
DFODF0011RC,0,0,0,1,2,0,0,1,0
DFODF0009RC,1,0,0,2,2,0,0,0,0
DFODF0017ND,1,0,0,0,0,1,0,2,0
DFODF0093RC,2,0,0,0,0,2,0,0,0
DFODF0001GF,0,0,0,0,0,0,0,0,0
DAPCL0073SKT,0,0,0,0,0,0,0,0,0
CPCTF0003SAVPH,2,0,0,2,0,0,0,0,0
CTOCA0005SKT,2,0,0,1,1,0,0,0,0
CLILI0005CB,0,0,0,1,1,0,0,0,0
CFOWF0037KK,0,0,2,0,0,0,0,0,0
CFOWF0013RC,1,0,0,0,0,1,0,0,0
CFOWF0147BT,0,0,0,0,0,0,0,0,0
CFOWF0059SH,2,0,0,0,0,0,0,0,0
CFOTR0013SH,0,0,1,0,3,0,1,0,0
CLILI0060PC,0,0,0,0,0,0,0,0,0
CFOWF0153MO,2,1,0,0,0,0,0,0,0
CFOWF0034SMY,2,1,2,2,0,1,1,1,0
CFODF0001MA,2,0,1,0,2,0,0,0,0
CFODF0004MA,0,0,2,0,0,0,0,0,0
